"Name","State","Notes","Runtime","Created","Updated","End Time","batch_size","device","exp_name","lr","max_epochs","model.activation","model.augment","model.aux_obs_space","model.batch_norm","model.batch_size","model.bias","model.ck_w","model.constant_function","model.corr_w","model.equivariant","model.lr","model.max_ck_window_length","model.name","model.num_hidden_neurons","model.num_hidden_units","model.num_layers","model.obs_pred_w","model.orth_w","model.state_dependent_obs_dyn","model.summary","model.use_spectral_score","num_workers","seed","system.action_obs","system.data_path","system.dynamic_mode","system.eval_pred_horizon","system.frames_per_state","system.name","system.obs_state_dim","system.pred_horizon","system.state_dim","system.state_obs","system.summary","model.explicit_transfer_op","system.test_pred_horizon","system.early_stop_epochs","system.max_epochs","system.obs_state_ratio","system.standardize","system.train_ratio","system.subgroup_id","system.group","system.terrain","ck_reg/test","ck_reg/train","ck_reg/val","corr_score/test","corr_score/train","corr_score/val","cov_cond_num/test","cov_cond_num/train","cov_cond_num/val","epoch","inverse_projector_cond_num/","inverse_projector_error/","inverse_projector_rank/","loss/test","loss/train","loss/val","obs_pred_loss/test","obs_pred_loss/train","obs_pred_loss/val","obs_pred_loss_t/test","orth_reg/test","orth_reg/train","orth_reg/val","rank_obs_state/","solution_op_cond_num/","solution_op_error/","solution_op_rank/","spectral_score/test","spectral_score/train","spectral_score/val","state_rec_loss/test","state_rec_loss/train","state_rec_loss/val","state_rec_loss_t/test","time","time_per_epoch","trainer/global_step","state_pred_loss/test","state_pred_loss/train","state_pred_loss/val","state_pred_loss_t/test"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah","finished","-","1724","2023-11-25T00:06:35.000Z","2023-11-25T00:35:19.000Z","2023-11-25T00:35:19.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","","K4xC2","uneven_easy","","","","","","","","","","200","","","","1.28944194316864","0.7033711075782776","1.2013853788375854","0.3299423158168793","0.23090164363384247","0.2800622284412384","0.4063527882099152","","","","","","","","","","","0.2145681083202362","0.1688936948776245","0.3121253252029419","0.16122691333293915","0.3","9.646592140197754","5000","0.9996523261070251","0.4828462898731232","0.829555332660675","1.3893156051635742"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","1735","2023-11-25T00:03:03.000Z","2023-11-25T00:31:58.000Z","2023-11-25T00:31:58.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","142","","","","2.731398820877075","0.7099901437759399","2.857225179672241","0.7434186935424805","0.2598910927772522","0.5663701295852661","0.8616262674331665","","","","","","","","","","","0.7584924697875977","0.1674851030111313","0.9866406321525574","0.7399774193763733","0.3","11.15308666229248","3550","1.8321964740753176","0.48439162969589233","1.7774581909179688","1.9484354257583616"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah","finished","-","1794","2023-11-24T23:53:52.000Z","2023-11-25T00:23:46.000Z","2023-11-25T00:23:46.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","","K4xC2","uneven_easy","","","","","","","","","","200","","","","1.3098968267440796","0.7180860638618469","1.3005249500274658","0.3410818576812744","0.2245083451271057","0.29214614629745483","0.42422574758529663","","","","","","","","","","","0.24412901699543","0.15497751533985138","0.36200374364852905","0.17745280265808103","0.3","10.163776397705078","5000","0.9874622225761414","0.5129069685935974","0.8780590891838074","1.3530042171478271"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","2396","2023-11-24T23:53:28.000Z","2023-11-25T00:33:24.000Z","2023-11-25T00:33:24.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","200","","","","2.586036205291748","0.605162501335144","2.751566171646118","0.6584608554840088","0.22679142653942108","0.549294114112854","1.0170056819915771","","","","","","","","","","","0.7046396136283875","0.15679329633712769","0.9166653156280518","1.0539283752441406","0.3","9.994268417358398","5000","1.760703444480896","0.3976570963859558","1.7462877035140991","2.670414686203003"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","2212","2023-11-24T23:52:26.000Z","2023-11-25T00:29:18.000Z","2023-11-25T00:29:18.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","178","","","","2.7483909130096436","0.606937050819397","2.9074668884277344","0.662042498588562","0.2306249886751175","0.5266438722610474","0.756155252456665","","","","","","","","","","","0.8074721097946167","0.1659911870956421","1.032838225364685","0.7888028621673584","0.3","14.475933074951172","4450","1.8177911043167112","0.38937658071517944","1.7945594787597656","1.9914093017578125"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah","finished","-","1822","2023-11-24T23:49:29.000Z","2023-11-25T00:19:51.000Z","2023-11-25T00:19:51.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","","K4xC2","uneven_easy","","","","","","","","","","200","","","","1.4894589185714722","0.755191445350647","1.2397664785385132","0.3833650052547455","0.23590022325515747","0.29193633794784546","0.5185487270355225","","","","","","","","","","","0.2307489514350891","0.1655271202325821","0.34462279081344604","0.17322267591953278","0.3","10.942249298095703","5000","1.1704459190368652","0.5369154214859009","0.8333960175514221","1.8800618648529053"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","1458","2023-11-24T23:38:40.000Z","2023-11-25T00:02:58.000Z","2023-11-25T00:02:58.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","118","","","","3.211460828781128","0.7537262439727783","3.2356088161468506","0.9453766942024232","0.29229921102523804","0.7028235197067261","1.1022716760635376","","","","","","","","","","","0.9415780305862428","0.19142591953277588","1.1684976816177368","0.919011890888214","0.3","13.381757736206056","2950","2.087247610092163","0.4969402253627777","1.9538674354553225","2.3326311111450195"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah","finished","-","1843","2023-11-24T23:35:47.000Z","2023-11-25T00:06:30.000Z","2023-11-25T00:06:30.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","","K4xC2","uneven_easy","","","","","","","","","","200","","","","1.3740042448043823","0.747655987739563","1.2071274518966677","0.386694848537445","0.2532798945903778","0.3139501214027405","0.4930771291255951","","","","","","","","","","","0.2068861573934555","0.15232114493846893","0.314532071352005","0.17207802832126615","0.3","10.945440292358398","5000","1.0801583528518677","0.538699746131897","0.8249180316925049","1.6887900829315186"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=flat system=mini_cheetah","finished","-","1191","2023-11-24T23:33:57.000Z","2023-11-24T23:53:48.000Z","2023-11-24T23:53:48.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/flat/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","","K4xC2","flat","","","","","","","","","","200","","","","1.733799934387207","0.3047606647014618","0.33192479610443115","0.6541106700897217","0.18032383918762207","0.1767713725566864","0.5326974391937256","","","","","","","","","","","0.37295639514923096","0.08944166451692581","0.08955688774585724","0.19800247251987457","0.3","7.328712463378906","3200","1.1997700929641724","0.17499734461307526","0.202952042222023","1.1155036687850952"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=flat system=mini_cheetah","finished","-","1166","2023-11-24T23:29:59.000Z","2023-11-24T23:49:25.000Z","2023-11-24T23:49:25.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/flat/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","","K4xC2","flat","","","","","","","","","","200","","","","1.7507482767105105","0.2889232933521271","0.3396959602832794","0.7006972432136536","0.16984570026397705","0.19987639784812927","0.5254361629486084","","","","","","","","","","","0.3899674117565155","0.08044958114624023","0.09614916145801544","0.20925213396549225","0.3","6.844465732574463","3200","1.188483715057373","0.17049506306648254","0.19901683926582336","0.913761556148529"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=flat system=mini_cheetah-k4","finished","-","1651","2023-11-24T23:25:52.000Z","2023-11-24T23:53:23.000Z","2023-11-24T23:53:23.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/flat/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(1, (0, 2))","K4","flat","","","","","","","","","","200","","","","4.236908912658691","0.2957094609737396","3.051985263824463","1.100915789604187","0.16162122786045074","0.6010649800300598","1.477391481399536","","","","","","","","","","","1.505754828453064","0.09044917672872543","1.3034183979034424","2.5982604026794434","0.3","7.544946193695068","3200","2.5381879806518555","0.1691206693649292","1.660766839981079","3.8140547275543217"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=flat system=mini_cheetah-k4","finished","-","1636","2023-11-24T23:24:53.000Z","2023-11-24T23:52:09.000Z","2023-11-24T23:52:09.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/flat/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(1, (0, 2))","K4","flat","","","","","","","","","","200","","","","4.353846549987793","0.2618429958820343","3.1758737564086914","1.224079728126526","0.11887982487678528","0.6765002608299255","1.581450581550598","","","","","","","","","","","1.569247126579285","0.0826895460486412","1.3573105335235596","2.727541446685791","0.3","9.472086906433104","3200","2.565783739089966","0.15257111191749573","1.7167633771896362","3.6689605712890625"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=flat system=mini_cheetah","finished","-","1226","2023-11-24T23:15:16.000Z","2023-11-24T23:35:42.000Z","2023-11-24T23:35:42.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/flat/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","","K4xC2","flat","","","","","","","","","","200","","","","1.6700934171676636","0.27540481090545654","0.2884112298488617","0.6771975159645081","0.1717073917388916","0.16858115792274475","0.4967248737812042","","","","","","","","","","","0.37215885519981384","0.07816052436828613","0.08578412979841232","0.18815934658050537","0.3","7.385456562042236","3200","1.1307779550552368","0.1588493436574936","0.16506743431091309","0.8986918926239014"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=flat system=mini_cheetah","finished","-","1221","2023-11-24T23:13:32.000Z","2023-11-24T23:33:53.000Z","2023-11-24T23:33:53.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/flat/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","","K4xC2","flat","","","","","","","","","","200","","","","1.7044391632080078","0.2841835618019104","0.2926799952983856","0.7534661293029785","0.17086635529994965","0.18097472190856936","0.5345773100852966","","","","","","","","","","","0.3700408935546875","0.07621344923973083","0.0780809298157692","0.18638357520103457","0.3","6.948945045471191","3200","1.1503870487213137","0.1697632372379303","0.1742938905954361","0.9063959717750548"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah-c2","finished","-","2013","2023-11-24T23:12:56.000Z","2023-11-24T23:46:29.000Z","2023-11-24T23:46:29.000Z","512","5","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(2, (None, 1))","C2","uneven_easy","","","","","","","","","","74","","","","9.068160057067873","0.7266147136688232","9.260568618774414","1.37183678150177","0.29980823397636414","1.191596269607544","1.384904861450195","","","","","","","","","","","4.005643367767334","0.2041519731283188","4.129007816314697","3.985903263092041","0.3","27.15375518798828","1850","4.795136451721191","0.4554235637187958","4.909840106964111","4.6813249588012695"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=flat system=mini_cheetah-k4","finished","-","1656","2023-11-24T23:10:48.000Z","2023-11-24T23:38:24.000Z","2023-11-24T23:38:24.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/flat/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(1, (0, 2))","K4","flat","","","","","","","","","","200","","","","4.49484920501709","0.25012239813804626","3.3353006839752197","1.1342664957046509","0.13740627467632294","0.649785041809082","1.5102005004882812","","","","","","","","","","","1.617651104927063","0.07742892950773239","1.391818284988403","2.7959468364715576","0.3","10.285696029663086","3200","2.6822938919067383","0.1419685035943985","1.8499929904937744","3.763938188552856"
"S:forward_minus_0_4-OS:4-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah","finished","-","1814","2023-11-24T22:59:40.000Z","2023-11-24T23:29:54.000Z","2023-11-24T23:29:54.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:4-H:30-EH:30","","100","30","200","4","true","1","","K4xC2","uneven_easy","","","","","","","","","","200","","","","1.365088701248169","0.7176545262336731","1.283800721168518","0.3462938964366913","0.23188631236553192","0.2926502823829651","0.4325743317604065","","","","","","","","","","","0.2427428662776947","0.15835045278072357","0.3689059615135193","0.18060100078582764","0.3","11.07215690612793","5000","1.05148446559906","0.5129268169403076","0.861290693283081","1.585738182067871"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=flat system=mini_cheetah-k4","finished","-","1677","2023-11-24T22:57:39.000Z","2023-11-24T23:25:36.000Z","2023-11-24T23:25:36.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/flat/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(1, (0, 2))","K4","flat","","","","","","","","","","200","","","","4.550987720489502","0.2975664734840393","3.3163154125213623","1.2256478071212769","0.13806788623332977","0.6978349089622498","1.8364707231521609","","","","","","","","","","","1.658089280128479","0.09180428832769394","1.4164003133773804","2.86118483543396","0.3","8.588255882263184","3200","2.6772656440734863","0.17488928139209747","1.796107053756714","3.928310871124267"
"S:forward_minus_0_4-OS:4-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah-k4","finished","-","1630","2023-11-24T22:57:36.000Z","2023-11-24T23:24:46.000Z","2023-11-24T23:24:46.000Z","512","6","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:4-H:30-EH:30","","100","30","200","4","true","1","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","156","","","","2.7396864891052246","0.6830900311470032","2.922884464263916","0.7591971158981323","0.25405317544937134","0.5740368962287903","0.894892156124115","","","","","","","","","","","0.8159632682800293","0.18741999566555023","1.0440495014190674","0.7947583794593811","0.3","12.24014949798584","3900","1.797510862350464","0.4448594152927398","1.8018420934677124","2.0404350757598877"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah-c2","finished","-","2683","2023-11-24T22:50:59.000Z","2023-11-24T23:35:42.000Z","2023-11-24T23:35:42.000Z","512","5","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","1","(2, (None, 1))","C2","uneven_easy","","","","","","","","","","78","","","","9.120403289794922","0.7382444739341736","9.268532752990724","1.2608712911605835","0.2798140347003937","1.0051475763320925","1.3116569519042969","","","","","","","","","","","3.975095510482788","0.20446445047855377","4.159525394439697","3.951112985610962","0.3","28.6436824798584","1950","4.910674571990967","0.4712117314338684","4.927151679992676","4.730884075164795"
"S:forward_minus_0_4-OS:4-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system=mini_cheetah","finished","-","1909","2023-11-24T22:43:22.000Z","2023-11-24T23:15:11.000Z","2023-11-24T23:15:11.000Z","512","4","obs_state_ratio","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:4-H:30-EH:30","","100","30","200","4","true","1","","K4xC2","uneven_easy","","","","","","","","","","200","","","","1.4122226238250732","0.7512719035148621","1.3236924409866333","0.3649183511734009","0.24609719216823575","0.30693602561950684","0.47159677743911743","","","","","","","","","","","0.25652605295181274","0.1763487011194229","0.3778302073478699","0.19245463609695437","0.3","11.531997680664062","5000","1.0812430381774902","0.5257037878036499","0.888961136341095","1.6994096040725708"
