"Name","State","Notes","Runtime","Created","Updated","End Time","batch_size","device","exp_name","lr","max_epochs","model.activation","model.augment","model.aux_obs_space","model.batch_norm","model.batch_size","model.bias","model.ck_w","model.constant_function","model.corr_w","model.equivariant","model.lr","model.max_ck_window_length","model.name","model.num_hidden_neurons","model.num_hidden_units","model.num_layers","model.obs_pred_w","model.orth_w","model.state_dependent_obs_dyn","model.summary","model.use_spectral_score","num_workers","seed","system.action_obs","system.data_path","system.dynamic_mode","system.eval_pred_horizon","system.frames_per_state","system.name","system.obs_state_dim","system.pred_horizon","system.state_dim","system.state_obs","system.summary","model.explicit_transfer_op","system.test_pred_horizon","system.early_stop_epochs","system.max_epochs","system.obs_state_ratio","system.standardize","system.train_ratio","system.subgroup_id","system.group","system.terrain","ck_reg/test","ck_reg/train","ck_reg/val","corr_score/test","corr_score/train","corr_score/val","cov_cond_num/test","cov_cond_num/train","cov_cond_num/val","epoch","inverse_projector_cond_num/","inverse_projector_error/","inverse_projector_rank/","loss/test","loss/train","loss/val","obs_pred_loss/test","obs_pred_loss/train","obs_pred_loss/val","obs_pred_loss_t/test","orth_reg/test","orth_reg/train","orth_reg/val","rank_obs_state/","solution_op_cond_num/","solution_op_error/","solution_op_rank/","spectral_score/test","spectral_score/train","spectral_score/val","state_rec_loss/test","state_rec_loss/train","state_rec_loss/val","state_rec_loss_t/test","time","time_per_epoch","trainer/global_step","state_pred_loss/test","state_pred_loss/train","state_pred_loss/val","state_pred_loss_t/test"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-c2","finished","-","2315","2023-11-25T19:37:59.000Z","2023-11-25T20:16:34.000Z","2023-11-25T20:16:34.000Z","512","5","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(2, (None, 1))","C2","uneven_easy","","","","","","","","","","200","","","","9.786983489990234","0.7761331796646118","10.061936378479004","1.4905829429626465","0.3236128091812134","1.208926796913147","1.6158210039138794","","","","","","","","","","","4.443836212158203","0.2740674316883087","4.693942070007324","5.165280342102051","0.3","17.677019119262695","400","5.039586067199707","0.4297037422657013","5.134325981140137","5.685154438018799"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-c2","finished","-","1771","2023-11-25T19:35:43.000Z","2023-11-25T20:05:14.000Z","2023-11-25T20:05:14.000Z","512","5","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(2, (None, 1))","C2","uneven_easy","","","","","","","","","","150","","","","9.76790714263916","0.8296867609024048","10.122563362121582","1.451215147972107","0.3364638388156891","1.1270536184310913","1.841962218284607","","","","","","","","","","","4.421624660491943","0.2904393970966339","4.697531700134277","5.389997482299805","0.3","13.093391418457031","300","5.0579047203063965","0.4640117883682251","5.214997291564941","5.7079315185546875"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-k4","finished","-","1023","2023-11-25T19:14:16.000Z","2023-11-25T19:31:19.000Z","2023-11-25T19:31:19.000Z","512","6","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","200","","","","5.057295322418213","0.7368170619010925","5.735867023468018","1.2346197366714478","0.3639514446258545","1.0886837244033811","1.4956966638565063","","","","","","","","","","","2.024599313735962","0.226963609457016","2.4809184074401855","1.873140811920166","0.3","6.521345615386963","400","2.758890390396118","0.4284714162349701","3.0504608154296875","3.0031800270080566"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-k4","finished","-","997","2023-11-25T19:14:01.000Z","2023-11-25T19:30:38.000Z","2023-11-25T19:30:38.000Z","512","6","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","200","","","","5.205402851104736","0.7346212863922119","5.989757537841797","1.543790340423584","0.3377777934074402","1.3568788766860962","1.6790958642959597","","","","","","","","","","","2.044999361038208","0.254279762506485","2.530150890350342","1.8794217109680176","0.3","8.105278015136719","400","2.822232961654663","0.40481212735176086","3.199258089065552","2.7655739784240723"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah","finished","-","763","2023-11-25T19:09:34.000Z","2023-11-25T19:22:17.000Z","2023-11-25T19:22:17.000Z","512","4","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","","K4xC2","uneven_easy","","","","","","","","","","200","","","","4.224042892456055","0.9110834002494812","4.587409019470215","1.292656660079956","0.4403466880321502","1.0664185285568235","1.386230707168579","","","","","","","","","","","1.4423645734786987","0.2626434564590454","1.8584418296813965","0.6010830402374268","0.3","5.616764068603516","400","2.457075834274292","0.5499754548072815","2.5194592475891113","2.2327213287353516"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah","finished","-","760","2023-11-25T19:09:17.000Z","2023-11-25T19:21:57.000Z","2023-11-25T19:21:57.000Z","512","4","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","","K4xC2","uneven_easy","","","","","","","","","","200","","","","4.347414970397949","0.8721312880516052","4.732551097869873","1.4550961256027222","0.45292073488235474","1.2029441595077517","1.2932456731796265","","","","","","","","","","","1.4892427921295166","0.2503337860107422","1.9503549337387085","0.6044901013374329","0.3","5.766458988189697","400","2.4953835010528564","0.520521342754364","2.5438168048858643","2.025259017944336"
"S:forward_minus_0_4-OS:5-H:30-EH:30_DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-c2","finished","-","625","2023-11-25T19:07:00.000Z","2023-11-25T19:17:25.000Z","2023-11-25T19:17:25.000Z","512","2","mini_sample_eff_terrain_uge","0.001","","ReLU","true","","false","512","true","","true","0","false","0.001","","DAE-AUG","","256","5","1","0","","DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(2, (None, 1))","C2","uneven_easy","","","","","","","","","","200","","","","13.93142795562744","1.9242956638336184","13.50084400177002","0.941689670085907","0.1514592468738556","0.670796811580658","1.704717040061951","","","","","","","","","","","5.556207180023193","0.654866635799408","5.935836315155029","6.810668468475342","0.3","4.818276405334473","400","6.331597328186035","0.9307559728622437","6.134209156036377","7.396864891052246"
"S:forward_minus_0_4-OS:5-H:30-EH:30_DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-k4","finished","-","539","2023-11-25T19:06:54.000Z","2023-11-25T19:15:53.000Z","2023-11-25T19:15:53.000Z","512","3","mini_sample_eff_terrain_uge","0.001","","ReLU","true","","false","512","true","","true","0","false","0.001","","DAE-AUG","","256","5","1","0","","DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","186","","","","10.80067539215088","9.914082527160645","11.293675422668455","0.10223300009965897","0.011114897206425669","0.0926533341407776","0.1657678782939911","","","","","","","","","","","5.282619476318359","4.94462776184082","5.550812721252441","5.2800822257995605","0.3","4.9130425453186035","372","5.283193111419678","4.944601058959961","5.550352573394775","5.282980918884277"
"S:forward_minus_0_4-OS:5-H:30-EH:30_DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah","finished","-","587","2023-11-25T19:06:52.000Z","2023-11-25T19:16:39.000Z","2023-11-25T19:16:39.000Z","512","0","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","false","0.001","","DAE","","256","5","1","0","","DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","","K4xC2","uneven_easy","","","","","","","","","","200","","","","15.528749465942385","1.087241530418396","15.298236846923828","1.4511815309524536","0.09207470715045928","1.1417319774627686","2.3913304805755615","","","","","","","","","","","6.112856388092041","0.3350445628166199","6.499972343444824","7.501606464385986","0.3","4.59200382232666","400","6.2500200271606445","0.546311616897583","6.311374664306641","7.5235724449157715"
"S:forward_minus_0_4-OS:5-H:30-EH:30_DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-k4","finished","-","577","2023-11-25T19:06:44.000Z","2023-11-25T19:16:21.000Z","2023-11-25T19:16:21.000Z","512","3","mini_sample_eff_terrain_uge","0.001","","ReLU","true","","false","512","true","","true","0","false","0.001","","DAE-AUG","","256","5","1","0","","DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","200","","","","10.378934860229492","4.950075626373291","9.619555473327637","0.723964512348175","0.38137906789779663","0.33889609575271606","1.8863075971603391","","","","","","","","","","","3.604069471359253","1.758181095123291","4.157246112823486","3.604536771774292","0.3","4.539216041564941","400","5.141817569732666","2.3391048908233643","4.73545503616333","5.608267307281494"
"S:forward_minus_0_4-OS:5-H:30-EH:30_DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah","finished","-","579","2023-11-25T19:06:39.000Z","2023-11-25T19:16:18.000Z","2023-11-25T19:16:18.000Z","512","1","mini_sample_eff_terrain_uge","0.001","","ReLU","true","","false","512","true","","true","0","false","0.001","","DAE-AUG","","256","5","1","0","","DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","4","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","","K4xC2","uneven_easy","","","","","","","","","","200","","","","10.61319637298584","9.929574966430664","11.044167518615724","0.04023535177111626","0.01163207832723856","0.03051523864269257","0.07221194356679916","","","","","","","","","","","5.257193088531494","4.951784610748291","5.495704650878906","5.226579189300537","0.3","4.57565975189209","400","5.2570390701293945","4.951780319213867","5.495456218719482","5.225715160369873"
"S:forward_minus_0_4-OS:5-H:30-EH:30_DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-c2","finished","-","472","2023-11-25T19:06:36.000Z","2023-11-25T19:14:28.000Z","2023-11-25T19:14:28.000Z","512","2","mini_sample_eff_terrain_uge","0.001","","ReLU","true","","false","512","true","","true","0","false","0.001","","DAE-AUG","","256","5","1","0","","DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(2, (None, 1))","C2","uneven_easy","","","","","","","","","","160","","","","13.58340072631836","1.9287501573562624","13.509552001953123","1.057254195213318","0.1582023948431015","0.8084206581115723","1.5748201608657837","","","","","","","","","","","5.338884353637695","0.6495822668075562","5.677700042724609","6.452674865722656","0.3","4.408104419708252","320","5.924722194671631","0.9254165887832642","6.068657398223877","6.835673809051514"
"S:forward_minus_0_4-OS:5-H:30-EH:30_DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah","finished","-","566","2023-11-25T19:06:35.000Z","2023-11-25T19:16:01.000Z","2023-11-25T19:16:01.000Z","512","0","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","false","0.001","","DAE","","256","5","1","0","","DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","","K4xC2","uneven_easy","","","","","","","","","","200","","","","14.636341094970703","1.0282065868377686","14.625195503234863","1.2723028659820557","0.09333527088165285","1.0812699794769287","1.7814805507659912","","","","","","","","","","","5.729419231414795","0.3217489421367645","6.065564155578613","7.176906108856201","0.3","4.52249813079834","400","6.119294166564941","0.4977535903453827","6.207688808441162","6.9486188888549805"
"S:forward_minus_0_4-OS:5-H:30-EH:30_DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah","finished","-","578","2023-11-25T19:06:22.000Z","2023-11-25T19:16:00.000Z","2023-11-25T19:16:00.000Z","512","1","mini_sample_eff_terrain_uge","0.001","","ReLU","true","","false","512","true","","true","0","false","0.001","","DAE-AUG","","256","5","1","0","","DAE-AUG-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","3","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","","K4xC2","uneven_easy","","","","","","","","","","200","","","","12.344236373901367","10.351892471313477","10.902464866638184","1.2007663249969482","0.36699727177619934","0.3251016139984131","2.868784666061402","","","","","","","","","","","4.282397270202637","3.713693141937256","4.793167591094971","4.310192108154297","0.3","4.502202987670898","400","5.35909366607666","5.817568778991699","5.406721591949463","7.604857921600342"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-c2","finished","-","2459","2023-11-25T18:56:51.000Z","2023-11-25T19:37:50.000Z","2023-11-25T19:37:50.000Z","512","5","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(2, (None, 1))","C2","uneven_easy","","","","","","","","","","200","","","","9.936586380004885","0.7356751561164856","10.171013832092283","1.6674309968948364","0.293674111366272","1.283096432685852","2.3219048976898193","","","","","","","","","","","4.467620849609375","0.23757265508174896","4.740095138549805","5.210622310638428","0.3","16.810861587524414","400","5.128707408905029","0.432435005903244","5.1800103187561035","6.176203727722168"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-c2","finished","-","2322","2023-11-25T18:56:51.000Z","2023-11-25T19:35:33.000Z","2023-11-25T19:35:33.000Z","512","5","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(2, (None, 1))","C2","uneven_easy","","","","","","","","","","188","","","","9.82751750946045","0.9464861154556274","10.129745483398438","1.566661715507507","0.33835604786872864","1.3225706815719604","1.5194993019104004","","","","","","","","","","","4.404413223266602","0.34607893228530884","4.6528801918029785","4.3747782707214355","0.3","19.85662841796875","376","5.103353977203369","0.5247484445571899","5.215363025665283","4.831673622131348"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-k4","finished","-","1044","2023-11-25T18:56:47.000Z","2023-11-25T19:14:11.000Z","2023-11-25T19:14:11.000Z","512","6","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","200","","","","5.15219783782959","0.8702865839004517","5.849874973297119","1.3482810258865356","0.37202325463294983","1.1850732564926147","1.3468097448349","","","","","","","","","","","1.9977725744247437","0.25945574045181274","2.4783759117126465","1.8532263040542605","0.3","9.462430953979492","400","2.85566782951355","0.5276439189910889","3.145930767059326","2.9564497470855713"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah-k4","finished","-","1030","2023-11-25T18:56:46.000Z","2023-11-25T19:13:56.000Z","2023-11-25T19:13:56.000Z","512","6","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","(1, (0, 2))","K4","uneven_easy","","","","","","","","","","200","","","","5.2307820320129395","0.8403621315956116","5.895893096923828","1.44327712059021","0.39105165004730225","1.2450892925262451","1.6767511367797852","","","","","","","","","","","2.0681986808776855","0.26565855741500854","2.5643720626831055","2.0891101360321045","0.3","6.344830513000488","400","2.8491315841674805","0.4872617721557617","3.0967600345611572","2.973845958709717"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah","finished","-","765","2023-11-25T18:56:45.000Z","2023-11-25T19:09:30.000Z","2023-11-25T19:09:30.000Z","512","4","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","2","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","","K4xC2","uneven_easy","","","","","","","","","","200","","","","4.057749271392822","0.8540517091751099","4.57717227935791","1.2408771514892578","0.4393587112426758","1.1092160940170288","1.203949213027954","","","","","","","","","","","1.4690301418304443","0.2655693292617798","1.919913649559021","0.591840922832489","0.3","5.4871978759765625","400","2.275371551513672","0.490238755941391","2.4404406547546387","1.9414712190628052"
"S:forward_minus_0_4-OS:5-H:30-EH:30_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256_model.batch_size=512 system.terrain=uneven_easy system.train_ratio=0.01 system=mini_cheetah","finished","-","748","2023-11-25T18:56:44.000Z","2023-11-25T19:09:12.000Z","2023-11-25T19:09:12.000Z","512","4","mini_sample_eff_terrain_uge","0.001","","ReLU","false","","false","512","true","","true","0","true","0.001","","E-DAE","","256","5","1","0","false","E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ReLU-B:True-BN:False-LR:0.001-L:5-256","","0","1","[]","mini_cheetah/raysim_recordings/uneven_easy/forward_minus_0_4","forward_minus_0_4","30","1","mini_cheetah","","30","??","[""joint_pos"",""joint_vel"",""base_z"",""base_vel"",""base_ori"",""base_ang_vel""]","S:forward_minus_0_4-OS:5-H:30-EH:30","","100","30","200","5","true","0.01","","K4xC2","uneven_easy","","","","","","","","","","200","","","","4.123819351196289","1.0014828443527222","4.511350154876709","1.4833422899246216","0.503155529499054","1.2180832624435425","1.3496531248092651","","","","","","","","","","","1.4109195470809937","0.2683775722980499","1.8306537866592407","0.5818272829055786","0.3","5.428009986877441","400","2.34729528427124","0.6205962300300598","2.4354379177093506","1.9666032791137695"
